iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7080811180362637,0.044159278086125055,0.7039021537980534,0.04427663422014606,0.5758764155007828,0.025856907021535074,0.5786820294623748,0.01940319238753908
1,0.701748460547632,0.0325311899940742,0.6944832568796588,0.04092901646778458,0.5353805517529213,0.018585922742961093,0.5357213420136476,0.013977341002251769
2,0.7094552200190973,0.04365661173674238,0.7030234939692317,0.041960355303644455,0.5104969815152475,0.030562866113374533,0.507046782019829,0.021009399431770322
3,0.7158558642529783,0.04075829240198728,0.7090719233707009,0.035886308047432085,0.48291938778191523,0.03122299963201291,0.4798133761958668,0.01977686269618396
4,0.7175994665568618,0.04223587885416853,0.7168308086054817,0.03106608977544347,0.4690665955401266,0.037024817576172826,0.46209180096875374,0.018363876999533447
5,0.7143329399647161,0.0416064055731743,0.7209011319579275,0.03239387724714666,0.4657457379384443,0.03664000139291355,0.45493220527239703,0.01989586747510644
6,0.7239701572075672,0.04994573949571752,0.7327286989744054,0.016005009900136948,0.45909036304600565,0.040410684173065585,0.44873862518708896,0.01944181524923306
7,0.7218826961724303,0.05563046163697412,0.7301276823309918,0.018193876762694777,0.4522597467062745,0.039721408865914014,0.44230249841956565,0.01919911049668027
8,0.7221923491734319,0.06303238863489583,0.735733152177831,0.00988984964988858,0.4475133616748875,0.046917074148808906,0.4336720438329199,0.014699848161839047
9,0.7289743293496446,0.052144642462219136,0.7401470895732342,0.01569831709838737,0.44690193713865656,0.047480567072635226,0.4304025393743295,0.014590159219696457
10,0.7324028171259584,0.04986879403696052,0.7457709770294192,0.01583036102035833,0.4450893132156713,0.04585976319544214,0.4270646373556026,0.014080810857584013
11,0.7321472882888568,0.0554734882073692,0.7477181758151812,0.013168462219476543,0.4436865430508375,0.046262349081457495,0.4259900202053867,0.013732097164426887
12,0.7341526486710753,0.05261735132668514,0.7508920286762318,0.013877761946570113,0.44275366160839136,0.046350783929313605,0.4227790233743276,0.015125581381448271
13,0.7351095760865096,0.05171016015018362,0.7508436514974932,0.012860993311619382,0.44143721478243503,0.0452875174205583,0.4204283986351805,0.015489109680085203
14,0.7351095760865096,0.05171016015018362,0.7515005188130124,0.012471698314444217,0.4433967899958672,0.04830167994491455,0.41868186066941,0.01562345039278343
15,0.736909530518043,0.05473367680116371,0.7522585449121088,0.015204051219471226,0.44279755706041657,0.048287260101190554,0.41531742937242944,0.015764850899258158
16,0.7349201712767753,0.05669391342585696,0.7542017705657539,0.015207088799217082,0.44196184351481727,0.04913358219419542,0.4140907386594435,0.015344231343635937
17,0.736909530518043,0.05473367680116371,0.7582981751418822,0.015063749819458367,0.4422072198180049,0.04990335262611072,0.41266124474855087,0.014560704477196896
18,0.7336466711753289,0.05314253153391347,0.754967712707218,0.019698121046988,0.4420422200271581,0.050265873742263024,0.41156203721036866,0.014841397440246307
19,0.7311294765840219,0.05688721909806869,0.756543724790329,0.020282982365163685,0.44085778454321733,0.04977663505315035,0.40866905804821635,0.01636419533993193
20,0.7331344891153504,0.05415841780132851,0.7643826247577298,0.020093980895834345,0.4385300198432421,0.05109212098354491,0.40581330806108157,0.015958768437934194
21,0.7306690310332388,0.05265291509295431,0.7667675874837252,0.01624371573616734,0.43909714893841356,0.05125808216727604,0.40327765844019076,0.015108770216078128
22,0.7336541056601044,0.057161596218638706,0.7685115747100655,0.014140291132881563,0.439039607752785,0.05189260619485353,0.4017826318265902,0.014720946237504086
23,0.7376648317760937,0.05267264566436754,0.767501306234942,0.014357145393643682,0.43794723597853047,0.05701236399930413,0.3995431321390179,0.014608390835992533
24,0.7336238426326538,0.05662557241630921,0.7685503938238492,0.013503619533575647,0.4391401448361537,0.05876759933226944,0.39841180375220964,0.015275401766165153
25,0.7336238426326538,0.05662557241630921,0.7686077449402509,0.01458535884871081,0.43637652345725675,0.06099460750489992,0.39569225411349523,0.013833528205688067
26,0.7338506934908796,0.05852194276460296,0.7707052314374949,0.013566734845987485,0.4366616468132524,0.061931768152286605,0.3933274359790867,0.013978605403444042
27,0.7346438566579134,0.05862642692153152,0.7742820034272677,0.011026669987118634,0.4337137335017357,0.06362795776604212,0.38973850048718184,0.013502907075114453
28,0.7357211768240004,0.05825609906946599,0.774071561494599,0.011299411052888009,0.43181891259695016,0.06263353430723027,0.3883856096353279,0.014062690250374977
29,0.7365032619216711,0.05406926555949051,0.7736626469121626,0.01380356111652486,0.4329596251389717,0.06576397339224697,0.3860466804628505,0.014919432473416601
30,0.733569591430554,0.056258589837084164,0.7746057707424361,0.013534544939183246,0.4334633085037785,0.06414161639882941,0.38241006283536516,0.0168894867446807
31,0.7389946081368117,0.058110790846023504,0.7781056320013887,0.015122479966109827,0.43201968621862175,0.06432397794706124,0.37995035895608076,0.017535586992523226
32,0.7403146670100496,0.05359975364857911,0.7811950533723862,0.014927585279078543,0.42803304333214953,0.06233435435995162,0.37561747353018005,0.017727670059122375
33,0.7360823835454827,0.057423066105338885,0.7863364239526442,0.016675150990579254,0.4284229788360775,0.06241443121208164,0.3716205487141485,0.01729743611234017
34,0.7392011616910642,0.06152612647421725,0.7893703020026172,0.015517225782731911,0.4276040212199604,0.06626464415189275,0.3684648879404164,0.016798979473877335
35,0.735858916501854,0.05444646095124903,0.7935068974615694,0.013836699536309977,0.42775324698186445,0.06645595978637975,0.3656976918596125,0.01680757963374377
36,0.7369587790190393,0.05340767874776099,0.7941064529397247,0.01418798065078054,0.4291433763486568,0.06778205722065422,0.3628408959174509,0.01754129668856578
37,0.7381257776846617,0.05555038785528588,0.7963051396732082,0.016865926403055058,0.42923550014800094,0.06964234625278098,0.35984094506827013,0.017953535462709468
38,0.7381257776846617,0.05555038785528588,0.8002871366635069,0.017951240232054376,0.4264232711296139,0.07260091757356879,0.35554869596517485,0.018010411637045365
39,0.7367268403567057,0.06712614015806348,0.8018410407274388,0.016961864407732227,0.42786388657051655,0.07308038616767629,0.35308307954145784,0.018927771418512554
40,0.7393333420501208,0.057191345351008574,0.8060041649473367,0.01062557450337365,0.4283621381513994,0.07219543250292676,0.3501993249922111,0.018394369596662716
41,0.7458165224927231,0.05337506589925381,0.8097793287393218,0.010839654249860177,0.4305148046965398,0.07490374764174075,0.34793197599543174,0.019920954941138415
42,0.7495623652355986,0.05841460312309418,0.812348828342793,0.01169700551390288,0.4295430354951166,0.07447258656876407,0.3455247831615502,0.019130370784245575
43,0.7493244070593754,0.055394185544317964,0.8133600231815692,0.011654680184784138,0.43005527317048714,0.07602959129089616,0.3430196101441522,0.019586091744221698
44,0.7504180502582817,0.05476544259121484,0.8141432597697369,0.012188306841462476,0.43049217283410923,0.07642817112082143,0.3412315413721919,0.019689923439483625
45,0.7514737816068672,0.05114459267537001,0.8167437535221218,0.010131782715060208,0.4305216371582533,0.07703411624234512,0.3391578852488053,0.018879733836008848
46,0.751338539180315,0.05202775151593096,0.8209198647158145,0.010854258113153515,0.43224680866976284,0.07526776239044991,0.3352419749743027,0.019342061937532025
47,0.7512164705679238,0.05591208848584789,0.8238193154399379,0.00993974019828229,0.4328113440340897,0.07637464934701318,0.3325958761609217,0.019356445079374743
48,0.7532482165996698,0.05466481270463773,0.825936881387421,0.010742525009186214,0.4320257126480316,0.07467153796285944,0.3310578264266939,0.019480400684488045
49,0.7560904949712783,0.055448439148545164,0.8276765485522242,0.009615840236144086,0.43268455985350773,0.07530329098999422,0.3289025184620409,0.02036693104399089
50,0.7571806112503481,0.054048777803043555,0.8308729236851106,0.010573624183218198,0.4300131489423,0.07428603088859002,0.3258211326030483,0.020516069224097922
51,0.7560307549823816,0.05482298265829111,0.8340446303216229,0.009564770523531949,0.4303650573600521,0.07387720200535942,0.3226835715460137,0.01936733445665331
52,0.7550231481481482,0.054162808504571475,0.8350758015531472,0.009360879305424565,0.431557329101909,0.0760096990865668,0.32038615681779287,0.01913730203194267
53,0.756864233419466,0.05670191587106736,0.8361576362208798,0.01002573214499323,0.4312632483161803,0.07667507054404363,0.31856863497535964,0.020009244470643166
54,0.7547007718810045,0.05940679257555624,0.8398983183978576,0.011722244354328901,0.43092730649714295,0.07614663510039435,0.3167648261492831,0.020890072878984357
55,0.7539431581409194,0.056308315711845476,0.8430296591688677,0.01064078950491158,0.4277102574628702,0.07947333414919026,0.3140582350360487,0.021536968643700527
56,0.7554659007208835,0.04918190832432546,0.8415304567283911,0.011956947465684918,0.4268453124281074,0.07905215475886053,0.3120483618880813,0.02108741342253991
57,0.7594645546063112,0.060342794766009414,0.8436611467127602,0.010184196468504323,0.42699318717704704,0.08021432065359596,0.3098526154983178,0.02118542683532028
58,0.7574371246719046,0.06326290242456473,0.844407379658389,0.009966993428001525,0.42788760219328414,0.08139773738553825,0.3087269531773462,0.021419297612851586
59,0.7544438787479958,0.05577711863677199,0.8452491812454564,0.009299536186643854,0.42779410934102147,0.08093483710651189,0.30637122898213814,0.019868658768320262
60,0.7477713178294574,0.05061164892257469,0.8462111028484273,0.00830834290494695,0.4313968900996197,0.07608514405041603,0.30344213925924113,0.019752940223691163
61,0.7484107040187157,0.05112884941052259,0.8458872617003973,0.009859088622044794,0.4312164072338791,0.07530768522287527,0.3010405953076507,0.0185258659725393
62,0.7518854781584852,0.045167185439396906,0.8485152703914757,0.0109419928164749,0.42944591621176487,0.07287390666006364,0.29877690946554614,0.01866288820345993
63,0.7527534237521541,0.04652186060712797,0.852494270002272,0.014939123107918072,0.42879451397066076,0.07274229535158216,0.2972926268645083,0.019321000474028235
64,0.7490213859161491,0.045334899510308044,0.8536796985181763,0.01407781273138985,0.43039141225344696,0.07198960278747199,0.29637484179104356,0.019177451191988593
65,0.747878551691944,0.04285298804513487,0.8543296619710657,0.014630913338840854,0.4307420876896777,0.0716046056604778,0.2951561863154122,0.018963641555586285
66,0.7503045791417884,0.04233554094100743,0.8542884088070888,0.013691759168549344,0.42866203603043784,0.07125293640993023,0.2934923340628313,0.01856601016492821
67,0.746181415483741,0.04423151497155852,0.8569360741010044,0.014023478730957354,0.429120513466965,0.07188472859654663,0.29192264372816584,0.019901292633603764
68,0.7514477433587646,0.04351438128427201,0.8599531606883106,0.012948390943554766,0.42894779453828324,0.0721944343590067,0.28836945466312225,0.019181984044276013
69,0.7514477433587646,0.04351438128427201,0.858976545761825,0.013234944041639161,0.4295338330636408,0.07177260006445188,0.2871014461738581,0.018215763491873493
70,0.757601156269562,0.04244707316636577,0.8613363567930818,0.014285038497812352,0.42912227155881544,0.07193033612492397,0.28533000106768436,0.018667860458605183
71,0.7584292435027622,0.04031925206843782,0.862754536695958,0.014697518500853567,0.4311524538150917,0.07382737566407592,0.2835312869037685,0.019019654652841146
72,0.750397688142548,0.04710991429589716,0.8623567401269907,0.015531889586846823,0.4320356140909338,0.0747968744893565,0.28237303421678744,0.018879206478998933
73,0.7495431437978005,0.04763808809186359,0.8645436834038851,0.015732170880838045,0.4328524391637331,0.07411724430623759,0.28067646667712287,0.019049790487883137
74,0.7451213720442909,0.04100213593355626,0.8665452972628668,0.015876851074531503,0.4323364034127109,0.07323496898225958,0.27925176590592937,0.018991433842882034
75,0.7523440445778712,0.04057503713577239,0.8680268139266127,0.014384134634463515,0.43153436466035744,0.07050358383412927,0.27749701622452944,0.01902062592405807
76,0.7482463720442908,0.03903814713863614,0.8675628991642641,0.01700959952987783,0.4335607375900188,0.07005330600833365,0.275952486174592,0.01864259026965861
77,0.7482463720442908,0.03903814713863614,0.8671356497567816,0.017652102014814108,0.43415393896997034,0.07023690008853496,0.2743204017432286,0.017737817912860384
78,0.7462542696477765,0.041749976622736336,0.8698945447036159,0.016149673351532872,0.4336433960312386,0.07153114771997032,0.2727919750928397,0.016842489735233855
79,0.7440070309590194,0.04196249146255816,0.8706776391056475,0.017889525927569167,0.43263743299952584,0.07152768324736264,0.2712751113642797,0.018085621652378706
